Movie,Review
Harry Potter,"There's nothing like the first in a series, is there? The introduction to the characters, the immersion into the fictional world, the first time you laugh, cry, care, and fear for someone's safety can never be repeated. No matter how many Harry Potter movies they crank out, or if they ever remake them in the future, none will come close to the wonderful first film, Harry Potter and the Sorcerer's Stone."
Harry Potter,"Having read the first few Harry Potter books before 2001 and hearing about the hype for the first movie, I was excited. I heard there was going to be an all-British cast (which makes sense, right?) and we'd get to see a live version of one of the defining novels of our generation. From what I remember I went with my family and a family friend to see the movie the day after Christmas and was pleasantly amazed. After the movie was over, I watched the credits and discovered some familiar names (the late Alan Rickman, Sister Act's Maggie Smith, James Bond 007's Robbie Coltrane, and Star Wars' Warwick Davis); others not so familiar (the kids, some of whom had their debut). But it was a good movie and was a party of colors and sights for all to see. This is easily my favorite of all the Harry Potter films. The catalyst of the movie series!"
Harry Potter,"Once upon a time (and not that long ago), in the vivid, fertile imagination of author J.K. Rowling, a character was born:  A boy.  A young boy named Harry, who was destined to become one of the most beloved characters to emerge from a work of fiction in a long, long time, and was quickly embraced by young and old alike in all corners of the world.  And now, thanks to the magic of the cinema, Harry and his companions fairly leap from the pages of the novel to the silver screen in the phenomenal motion picture, `Harry Potter and the Sorcerer's Stone,' directed by Chris Columbus and written for the screen by Steve Kloves.  Indeed, Harry Potter is a boy, but not just any boy; because Harry (Daniel Radcliffe) just happens to be a wizard.  But, orphaned as a baby, Harry has been raised by his Aunt Petunia (Fiona Shaw) and Uncle Vernon Dursley (Richard Griffiths), who never let him in on the fact that he was, well-- what he was.  It seems that Petunia didn't approve of her own sister-- Harry's mother-- because she was a witch; nor of Harry's father because he, too, was a wizard.  When Harry turns eleven, however, the secret is out of the bag when-- after some strange goings-on-- a giant of a man named Rubeus Hagrid (Robbie Coltrane) shows up at the Dursley's door to collect Harry and take him off to `Hogwarts,' a school for wizards and witches and all who would perfect the gift with which they were born:  The gift of magic!  And from the moment Harry boards the train (from station platform nine-and-three-quarters) that will take him to his destiny, the magic is alive-- for Harry, and for the audience, as well; and it's a journey you will never forget."
Harry Potter,"Like a lot of others, I refused to watch this film when it was originally released, thinking it was going to be another movie for kids, loosely taken from the source. Was I ever wrong? "
Harry Potter,"I watched this movie first time when I was left with no choice. My expectations were extremely low as I always wondered if Harry Potter books were over-hyped. How-ever after watching the movie it did make me a Harry Potter movie fan. And needless to say - this continues to remain my favourite of HP series. That brings to a point here.... the effect of expectations over a movie. True, expectations reduce joy."
Harry Potter,"I enjoyed this movie immensely. But, like ""The Phantom Menace,"" I've had a very hard time viewing it objectively. There was so much anticipation leading up to its release, I simply enjoyed the experience of being there. Having read all four books in the series a few times each, I am overly familiar with the events in the story. As I watched the movie, my continuing thought was ""How well will the next part of the story be translated to the screen?"" rather than ""How entertaining is this film overall?"" I have trouble answering the latter question because I was already entertained by watching a wonderful story dramatized, so I'll never know how I'd have reacted had I seen this movie without having read the books."
Harry Potter,"Ah, the first film adaptation of the beloved Harry Potter series. Harry Potter is an 11-year-old boy who comes to find out that he is a wizard. He lives with his uncaring Muggle (non magic) aunt, uncle, and cousin since his parents died when he was a baby. They were murdered by a dark and powerful evil wizard named Lord Voldemort. Harry would be dead too, but was miraculously saved, making him something of a legend. Upon learning of his guarded magic roots, Harry gets enrolled in Hogwarts- a British school for witches and wizards. While there he learns to come into his own, meet people that are actually good to him, and learn more of his dark past. Looking back, I don't know if it was a good idea to have Chris Columbus direct this, as he does have a reputation for being something of a hack, albeit a decent one. I think his direction is okay here. Yeah, retrospectively it could have been better, but it could also have been much worse. At least with him at the helm we get a good amount of whimsy to go along with a bit of menace, and that's a good thing, as the book was likewise not too heavy on the darker stuff (though that sure changed as time went on). Many liberties are taken, which is weird since the book is quite short, and the film is two and a half hours. It does get the point across decently enough though, and also works as a piece for those unfamiliar with the source material. John Williams provides great music, there's wonderful art direction and set design, and there's some nifty set pieces too. Featuring an all-British cast, this film is impeccably cast, and the performances are good too. Finding decent child actors is hard, but they really scored here. My enjoyment of this movie has waned over time, but it's still not a terrible piece of work by any means, so check it out."
Harry Potter,"I really liked this film, but I much prefer the book, which has a lot more magic and wonder. Daniel Radcliffe is very likable as Harry, and he is given solid support by a funny Rupert Grint and a good Emma Watson, though she was annoying at times. The scene stealer was definitely Robbie Coltrane; I actually can't imagine anyone else playing Hagrid, Coltrane was just hilarious. Alan Rickman and Maggie Smith were also great, but for me the standout was the late Richard Harris. Now I much prefer Harris's interpretation of Dumbledore. He was soft-spoken, and actually fitted the part better. Both of these qualities were lost in the interpretation that Michael Gambon gave. I am not saying that Michael Gambon was bad, he just wasn't my ideal choice for Harris's replacement. The film is fairly faithful to its source material, and looks very beautiful. However, it is a bit long, and very young children may find Voldemort too frightening. I know because I have triplet brother and sisters who saw it, and couldn't sleep for about a month after viewing. In conclusion, a very good film, well performed and quite dark. 8/10 Bethany Cox"
Harry Potter,"in 2001, in the film Harry Potter and the Sorcerer's Stone, began one of the best sagas of all time, based on the book of the same name by JK Rowling, the film hit full in the cast, all actors are great in their characters, Daniel Radcliffe this impeccable as Harry Potter, the resemblance is too large, Rupert Grint this great as Ron Weasley, Emma excellent Watson as Hermione Granger, Robbie Coltrane as Hagrid, Richard Harris as Dumbledore (which unfortunately from the third movie substituted series, having deceased), Maggie Smith, Alan Rickman great as Snape, Ian Hart, Tom Felton, and etc, all goods, the special effects are great, the picture is great, especially the castles, the soundtrack is very good, and full of great moments, as the final, obvious that the movie has errors, the script has some problems, and the film is very long, I think it was longer than it should, and the film is faithful to the book, even with some missing characters, Harry Potter and the Sorcerer's Stone is a very good film, and marks the beginning of the saga of the Wizard in the movies. Note 8.2"
Harry Potter,"Harry Potter and the Philosopher's Stone is a film directed by Chris Columbus. For many years, I hadn't given a damn about the Harry Potter series. But seeing the fanfare surrounded by the series, I decided to give it a try. After watching this one, I can definitely say that I am on the verge of being a fan."
